0,1
#邊荷律 秀可愛口音日文！ #峮峮 當場笑翻 #Shorts,https://www.youtube.com/shorts/jgjtbytfvcg
#笑翻 ,https://www.youtube.com/shorts/opjGEk0M5Hc
「韓籍三本柱」首合體 秀中文笑翻全場@videolandnews,https://www.youtube.com/shorts/TIF1vxjdILg
憲哥综艺笑翻了,https://www.youtube.com/shorts/4fSxFojrv60
我媽聽了這笑話都笑翻了！| 笑一笑，每天都開心 發給需要笑容的好友吧  #每日笑話,https://www.youtube.com/shorts/b07r9FN_Eq0
非誠勿擾最搞笑的一段！當時整個電影院笑翻了，葛優真行！,https://www.youtube.com/watch?v=WEVvgriisYc&amp;pp=ygUG56yR57-7
超完美破音 我期待 看完保證笑翻~,https://www.youtube.com/watch?v=baccF-PPURI&amp;pp=ygUG56yR57-7
吳宗憲解釋何謂「佛跳牆」，侯佩岑笑翻了！,https://www.youtube.com/watch?v=SPW7yOqqaPU&amp;pp=ygUG56yR57-7
老年大學罰站的結局笑翻了！｜老年大学罚站的结局笑翻了！｜Hilarious Punishment at Senior College!,https://www.youtube.com/shorts/aacaBpphPSo
【搞笑模仿】各國撞到的反應 網笑翻：沒叫你超越！｜搞笑｜模仿｜文化差異,https://www.youtube.com/shorts/tiSPtF5XvAU
中國最強科技，笑翻全世界This is China @chinastime  #china,https://www.youtube.com/shorts/LbgJRZMSWeE
辦公室關門像嗩吶聲  網笑翻「把不適任同事直接超渡嗎？」,https://www.youtube.com/shorts/NvF7BcQEetg
華仔幽默風趣笑翻全場Andy Lau's Wit and Humor Have the Entire Audience in Stitches#劉德華  #andylau#華仔 #舒淇,https://www.youtube.com/shorts/aio90vHGS0A
被美人魚綁架 警察局笑翻,https://www.youtube.com/watch?v=RZqB9wyvuZA&amp;pp=ygUG56yR57-7
邊荷律秀可愛口音日文　峮峮當場笑翻！,https://www.youtube.com/watch?v=FbtWZedvZ9o&amp;pp=ygUG56yR57-7
沈玉琳 5分鐘演講笑翻全場【超爆笑】,https://www.youtube.com/watch?v=y2grnoarBLc&amp;pp=ygUG56yR57-7
笑翻！兒子舉報私房錢　換來「復仇者爸爸」逆襲｜三立新聞網SETN.com,https://www.youtube.com/watch?v=jGnCQT5_ulI&amp;pp=ygUG56yR57-7
1996年#張菲 裝聽懂讓#松田聖子 笑翻#王牌威龍#檢場@cts_arch #Shorts,https://www.youtube.com/shorts/L4fGZIR6UoA
#王彩樺 自曝喜歡 #高個男！「玩法多元」 讓 #費玉清 笑翻：為了幹什麼？【#費玉清時間】#shorts #黃色笑話,https://www.youtube.com/shorts/grVdKSTxGRw
#沈玉琳 1歪理 #利菁 笑翻!【#后宮歐買尬】 EP24︱#照騙 #虛擬世界 #交友軟體 #渣男 #寵物 #shorts,https://www.youtube.com/shorts/SRpsaCxGepU
面對長輩的碎念 小S讓現場笑翻?!【康熙來了 #shorts 】 #小s #康熙來了 #康熙來了,https://www.youtube.com/shorts/NYpxYYUoLME
#沈玉琳 亂改 #歌詞 全場笑翻!【#后宮歐買尬】 EP37︱#利菁 #shorts #常識 #知識 #法律 #律師,https://www.youtube.com/shorts/kBCDRlYa0BE
2歲女兒萌喊「老公回來啦」　媽傻眼笑翻：那是妳爸爸｜萌娃｜搞笑,https://www.youtube.com/watch?v=3H-YdcsR1iw&amp;pp=ygUG56yR57-7
林道遠自創英文笑翻眾人！城哥虧：你有什麼委屈？#全民星攻略 #曾國城 #蔡尚樺【精華】,https://www.youtube.com/watch?v=5vb2wYS28eU&amp;pp=ygUG56yR57-7
1027天才衝衝衝-color tempo張文綺大舌頭笑翻全場,https://www.youtube.com/watch?v=vi7K8VcXVHY&amp;pp=ygUG56yR57-7
【後悔莫及】努力7年，才驚覺YouTube賺錢就是個坑⋯這是我用7年青春換回來的4個真相，終於看清YouTube的真面目！勸你看完後再入場，否則你的努力&amp;苦勞只會換來無情對待⋯,https://www.youtube.com/watch?v=6gBtbI3ZzhU&amp;t=286s&amp;pp=ygUG56yR57-7
"千万别让任贤齐说相声, 一句话让岳云鹏自愧不如!｜#任贤齐 ｜脱口秀之王",https://www.youtube.com/watch?v=hHxHvjIWAmA&amp;t=1144s&amp;pp=ygUG56yR57-7
KAI搶自己演唱會票開始前放話「隨便都搶得到」 結局大失敗...笑翻工作人員 【Yahoo TV #娛樂星聞】#KAI,https://www.youtube.com/watch?v=XGZVmDfQkmU&amp;pp=ygUG56yR57-70gcJCb0Ag7Wk3p_U
最拿手的菜是白開水？笑翻全場！ | 最拿手的菜是白开水？笑翻全场！ | Best Dish: Boiled Water?! Hilarious! #搞笑,https://www.youtube.com/shorts/R8f007SCl_U
麻辣鮮師 精神答數+扎屁眼 保證笑翻 ~,https://www.youtube.com/watch?v=StTANX_5clk&amp;pp=ygUG56yR57-70gcJCb0Ag7Wk3p_U
小孩哥：看我今天‘讀不死’你，笑翻全場！,https://www.youtube.com/shorts/N3qnbOvv4vQ
笑翻全场！盘点那些让人笑出腹肌的神回复！#搞笑 #解压,https://www.youtube.com/watch?v=NbXZAZeVkTc&amp;pp=ygUG56yR57-7
【高招XD】在會計小姐面前跳舞 真實目的網笑翻｜會計｜員工｜跳舞｜創意｜逗趣,https://www.youtube.com/shorts/dJxoAtzveT4
潘若迪牙齒太白小Ｓ笑翻！【#小姐不熙娣】#shorts,https://www.youtube.com/shorts/56wZ5UXHYVg
女孩哭一半發現鏡頭「秒變臉」網友笑翻：小小年紀偶包很重！#shorts #cute #funny,https://www.youtube.com/shorts/fBQVJzmBNfw
笑翻欸你一歲三個月就給我想搶別人玩具……還給我做鬼臉……哪招啦嚇到別人了啦…趕快制止你，還給我大叫#1y3m #小貝果 #翅膀硬了 #育兒生活 #baby #親子飯店,https://www.youtube.com/shorts/90fIlip9W28
笑翻~~炸裂全連 #新兵日記 #當兵 #shorts #四季線上,https://www.youtube.com/shorts/Ir8L8rLJdXU
笑翻,https://www.youtube.com/shorts/BDwo_6pu1W0
【剷除親共】老大傅崐萁都不妙了！「馬祖王」怕了向綠營求饒「讓我做完3年」？！昔囂張親中「今氣焰全消」笑翻惠珍！【關鍵時刻】張炤和 ‪‪@ebcCTime,https://www.youtube.com/watch?v=v1h7Dw5iTmg&amp;pp=ygUG56yR57-7
風田誇鍾欣凌漂亮  鍾欣凌堅定回應全場笑翻 @chinatimesent   #shorts #鍾欣凌 #風田,https://www.youtube.com/shorts/Vo12ZMTz1IY
女孩哭一半發現鏡頭「秒變臉」網友笑翻：小小年紀偶包很重！｜觸咪 #shorts #cute #funny,https://www.youtube.com/shorts/EYM5iZNcnyI
孫捉弄嬤「空跳」笑翻　矇眼跳繩10下送1000元｜TVBS新聞｜擠看看 #shorts,https://www.youtube.com/shorts/J2UhjL4VM7E
#風田 賣力演出全場笑翻!【#女孩好野】EP07︱#女孩好野 #沈玉琳 #張立東 #啦啦隊 #李多慧 #林襄 #籃籃,https://www.youtube.com/shorts/tFN6kXJrqhM
薛侖娥已崩潰 裴真率已笑翻 #엔믹스 #エンミックス #nmixx #설윤 #배이  #sullyoon #bae #薛侖娥 #裴真率 #miami #mixxlog #04line,https://www.youtube.com/shorts/azEoUDRN-N8
【妳放大來看】爸熱情幫媽拍美照！一看照片母女笑翻：人在哪XDD #Shorts,https://www.youtube.com/shorts/Du18FoFT_EM
【歹徒徹底崩潰】全網最實用防身術? 網笑翻：學廢了XD｜防身術｜歹徒｜搞笑｜口水,https://www.youtube.com/shorts/rdauotGqwf8
#LULU 幫忙翻譯日文　#許光漢 #張震 笑翻XD #Shorts,https://www.youtube.com/shorts/63hysziDBpM
貨車&quot;擋測速照相機&quot;竟合法?! 網笑翻:背負著鄉親願望│中視新聞 20250325,https://www.youtube.com/watch?v=jZg9QbS6mGE&amp;pp=ygUG56yR57-7
「料理鼠王」驚喜現身！　烹飪學校畢典全場笑翻｜TVBS新聞｜擠看看 #shorts,https://www.youtube.com/shorts/gwUe_A27PG0
大爺給幼兒園小朋友崩爆米花，失誤“放炮”網友笑翻：爆米花崩大爺真是第一次見！#爆米花#搞笑瞬間#老人趣事,https://www.youtube.com/shorts/r4VbwMqwr_E
費玉清婚姻名言笑翻眾人！【#不笑算我輸】#shorts,https://www.youtube.com/shorts/JmrvLC_wtv4
柯佳嬿隔空許願「聖誕節驚喜」　坤達反應笑翻全場再霸氣吐「這句」 @chinatimesent #shorts,https://www.youtube.com/shorts/bAzMWz3w6w0
高情商新郎接親現場，對答如流，笑翻全場！,https://www.youtube.com/shorts/lZDXkT_QOWM
笑翻了 #嬰兒 #寶寶日常 #可愛 #shorts,https://www.youtube.com/shorts/Td52wc__LaQ
笑翻又口誤！趙少康喊「江啟臣是台灣和平恐怖分子」　遭糾正：是賴清德#shorts ｜三立新聞網 SETN.com,https://www.youtube.com/shorts/pQ_A8QNZiLo
交保不代表無罪？尚公計較年紀 全場笑翻 #shortrs,https://www.youtube.com/shorts/rWmFGB4O_L0
#笑翻阿嬤！你在ㄟ #模板,https://www.youtube.com/shorts/1BOIN4lc_0k
《台下》#菜冠雙頭｜#現場漫才｜#笑翻整座島,https://www.youtube.com/shorts/F0uxv3ZBnuA
原來把別人笑翻也是一種手段。It turns out that making others laugh is also a means of achieving success.,https://www.youtube.com/shorts/eqkctTdacCM
#沈玉琳 用爛招 #整人 眾笑翻!【#哈囉你有事嗎】 EP130｜#曾智希 #旅遊 #出國 #機場 #國外 #空服員 #空姐#shorts,https://www.youtube.com/shorts/YzGWU5IH4jc
3/3/25-川澤翻臉 普丁笑翻！疑美論 蔓延！高雄數據 愛作假？228 民進黨永遠的提款機！曹興誠 又改口！黑熊 到底多有錢！,https://www.youtube.com/watch?v=TMxQ7pcEWag&amp;pp=ygUG56yR57-7
尷尬到極致…但我笑翻了 | 笑一笑，每天都開心 發給需要笑容的好友吧  #每日笑話,https://www.youtube.com/shorts/Z287XnJ3R7s
【措手不及】男友開心買冰回來... 反轉結局 網笑翻｜情侶｜互動｜冰淇淋｜反轉｜搞笑,https://www.youtube.com/shorts/qbekUX96C_s
沈玉琳現場挑戰「翻白眼」！眼睛太小慘淪為來賓笑柄？！【#不笑算我輸】 #shorts,https://www.youtube.com/shorts/ySQOi2Riong
#蔡黃汝 神 #模仿 #吉娃娃！#庹宗康 笑翻：被踩尾巴！【#花甲少年趣旅行】 EP80｜#庹宗康 #王彩樺 #shorts,https://www.youtube.com/shorts/IaLPcJfvSrE
幽默讚高虹安！江啟臣虧「1句」　韓國瑜笑翻：政治敏感 @ChinaTimes #shorts #韓國瑜 #高虹安 #江啟臣 #白雪公主 #財劃法 #新竹市長 #立法院長 #立法院,https://www.youtube.com/shorts/VV1HDif7cak
#張棋惠 #口誤 讓 #沈玉琳 笑翻!【#哈囉你有事嗎】 EP60｜ #許維恩 #衝動 #冷靜 #疫情 #處理 #闖禍 #謹慎#shorts,https://www.youtube.com/shorts/_dZ3Mb6jJls
匈牙利人開口竟是福建粗口？笑翻全場！,https://www.youtube.com/shorts/gSimRD7T_dw
金曲歌后唱一半蟲鑽上脖子！驚見有蟲嚇到飆破音笑翻 @ebcstars,https://www.youtube.com/shorts/KIHfl1mXoDU
蔥師表道盡國昌前半生! 阿川現場吟唱笑翻來賓｜20240527｜#shorts,https://www.youtube.com/shorts/BeEG3_9CHoQ
Grace神模仿讓李正皓笑翻！狂喊「政論比莉姊」XD,https://www.youtube.com/shorts/qDyoVT-8ORY
那笑聲是誰雅英一個笑翻 #20240728 #李雅英 #이아영 #funbonangels #cheerleader ​⁠@yyyoungggggg,https://www.youtube.com/shorts/a7M3vCp02f4
運動會小意外：男子在眾目睽睽下摔倒，笑翻全場！,https://www.youtube.com/shorts/ayjgedZlW2c
來賓笑翻幫川哥應徵「民眾黨發言人」! 王義川神模仿黃國昌出席不投票包牌聲明「各種場面都通用」｜20240617｜#shorts,https://www.youtube.com/shorts/tvm2wEiWTus
黃一飛醉酒拍攝笑翻全組，竟成《回魂夜》最經典一幕，只有星爺拍的出來！ #周星馳 #港片#幕後 #shorts,https://www.youtube.com/shorts/QfGbm35nrVo
新兵學生的原地踏步，動作太誇張笑翻全場！,https://www.youtube.com/shorts/xL-JTViwu_4
#陳思安 模仿 #葉璦菱 惹全場笑翻啦...XD｜阿姐萬歲 #shorts,https://www.youtube.com/shorts/F6DP4apyVxY
查爾斯國王皮卡丘笑話大熱，威廉王子笑翻全場 #pokemon #games #搞笑,https://www.youtube.com/shorts/m604Rq4I4Ak
全場尷尬到極致…但我笑翻了 | 笑一笑，每天都開心 發給需要笑容的好友吧  #每日笑話,https://www.youtube.com/shorts/d2tKbj6_BMs
翻臉比翻書還快,https://www.youtube.com/shorts/RvZJhKDYk_g
大家都笑翻了，你呢？| 笑一笑，每天都開心 發給需要笑容的好友吧  #每日笑話,https://www.youtube.com/shorts/REdbt0X4hJ0
#王彩樺 自曝 #合作 #私人 電話號碼？！暗藏玄機讓 #費玉清 笑翻！【#費玉清時間】#shorts #黃色笑話,https://www.youtube.com/shorts/QHeDS6hQsAY
關韶文冷笑話小Ｓ笑翻【#小姐不熙娣】#shorts,https://www.youtube.com/shorts/MCLV9hFDMoI
誰能想到這個結局？真的笑翻我了！| 笑一笑，每天都開心 發給需要笑容的好友吧  #每日笑話,https://www.youtube.com/shorts/KqEAGL6RlEI
笑翻你的5秒笑話，挑戰一下！ | 笑一笑，每天都開心 發給需要笑容的好友吧  #每日笑話,https://www.youtube.com/shorts/1p-IgR_Ogek
全場尷尬到極致…但我笑翻了| 笑一笑，每天都開心 發給需要笑容的好友吧  #每日笑話,https://www.youtube.com/shorts/w73uCDXRh6I
小優在路邊大哭小Ｓ笑翻！【#小姐不熙娣】#shorts,https://www.youtube.com/shorts/UMEDmmUXhDs
Grace神模仿讓李正皓笑翻 狂喊「政論比莉姊」XD｜三立新聞網 SETN.com,https://www.youtube.com/shorts/cbNl0CedNJU
貓咪同手同腳的奔跑：笑翻全場！,https://www.youtube.com/shorts/qYSgu6O4pUA
「周董」挑戰101垂直馬拉松 「賈董」激將笑翻全場,https://www.youtube.com/watch?v=VQbXtCKSwFE&amp;pp=ygUG56yR57-7
真「笑到並軌」！見閨蜜對臉拔罐笑翻下秒自摔超展開@cosmosviral,https://www.youtube.com/watch?v=7_lshM0ZVp0&amp;pp=ygUG56yR57-70gcJCb0Ag7Wk3p_U
真的不是邊荷律！啦啦隊跳舞掉出「御飯糰」　本尊現身曝畫面笑翻網,https://www.youtube.com/watch?v=GTq-RJjUyt4&amp;pp=ygUG56yR57-7
【月曜夜未央】沒冷氣吃燒烤好痛苦 | 笑翻日綜 #月曜から夜ふかし  #shorts #日本,https://www.youtube.com/shorts/e_FzyE84VWE
子瑜一開嗆直接笑翻姐姐們 #twice,https://www.youtube.com/shorts/G1gCHFofcHU
嘉汭被誤認成印尼人！小Ｓ笑翻：真的太像了！【#小姐不熙娣】#shorts,https://www.youtube.com/shorts/-aBSF-Q0MBQ
#沈玉琳 講 #台灣 #俗語 眾笑翻!【#哈囉你有事嗎】 EP113｜#曾智希 #台灣 #南北 #戰南北 #習俗 #習慣 #文化#shorts,https://www.youtube.com/shorts/Sp979RNlijg
笑翻！《11點熱吵店》沈玉琳&amp;Melody主持默契大考驗！意外爆料演藝圈超級心機男？！,https://www.youtube.com/watch?v=0N3lJecB0eI&amp;pp=ygUG56yR57-7
#沈玉琳 講 #屈原 #笑話 眾笑翻!【#哈囉你有事嗎】 EP30｜#文化 #許維恩 #老外 #東方 #西方 #外國人 #韓流 #趣味 #有趣#shorts,https://www.youtube.com/shorts/D2jM_incsYo
男子組隊爬山，甘蔗當登山杖笑翻全場！,https://www.youtube.com/shorts/RS1VlVpj1-Q
【月曜夜未央】阿伯你還好嗎 | 笑翻日綜 #月曜から夜ふかし  #shorts #日本,https://www.youtube.com/shorts/blR-icW730Y
吳娟瑜突爆粗口笑翻尚樺【#全民星攻略】#曾國城 #蔡尚樺 #shorts,https://www.youtube.com/shorts/d0c6QnDFk6Q
沒什麼愛好，就是愛吃口饢！學生搞笑日常笑翻全場！#饢餅 #搞笑 #不聽話的學生,https://www.youtube.com/shorts/6jZZTJNgNrE
胖子的泡澡困境與機智回答，笑翻全場！#胖子泡澡 #幽默故事 #搞笑對話 #生活趣事 #朋友互動 #機智回答 #笑話分享 #日常幽默 #趣味故事 #搞笑日常,https://www.youtube.com/shorts/oydDqUuHe2A
女粉告白「太粗暴」 蔡依林尬回笑翻全場｜TVBS娛樂頭條 #shorts   @TVBSNEWS01,https://www.youtube.com/shorts/2ZgLSY3zbaY
峮峮化身叫賣姊？ 開場自帶喇叭笑翻全場【飢餓遊戲】#shorts #王仁甫 #峮峮 #梁赫群 #hungergames,https://www.youtube.com/shorts/kjRh0QNGBaU
婁峻碩「吃豬腳照」笑翻美麗本人XD #Shorts,https://www.youtube.com/shorts/FRy8pKvfDGs
黃金獵犬烘乾中！崩壞表情+神配樂笑翻網 @cosmosviral,https://www.youtube.com/shorts/DfDInLwB0C4
曾反對陳喬恩和老公交往！明道曝「真實原因」笑翻 #Shorts,https://www.youtube.com/shorts/33vSFwsy6Es
女粉告白「太粗暴」　蔡依林尬回笑翻全場｜TVBS娛樂頭條 #shorts,https://www.youtube.com/shorts/4ZY_Fqr-L1Y
外甥用作業蓋炮仗，男子笑翻：這小家伙心機滿滿！網友：這年紀就這麼聰明！,https://www.youtube.com/shorts/Z42lGUrHd5Y
#盧廣仲 挺 #張清芳 「我從小...」笑翻XD #Shorts,https://www.youtube.com/shorts/zv3LYsTxNkw
奇葩表演笑翻 #范丞丞 ！#周深 直接笑喷水？#青春环游记  #贾玲  #杨迪,https://www.youtube.com/shorts/2GO6Pi1y5wU
《婆婆》三兄弟漏網鏡頭曝光　導演脫口一句話笑翻眾人,https://www.youtube.com/watch?v=0FE4xxgyseg&amp;pp=ygUG56yR57-70gcJCb0Ag7Wk3p_U
【薇娟】失控吼'Super Lady'笑翻池原 嗨唱GD、aespa...蕾哈娜還拿滿分,https://www.youtube.com/watch?v=cN9rPPAx58I&amp;pp=ygUG56yR57-7
【月曜夜未央】有大師可以解夢一下嗎| 笑翻日綜 #月曜から夜ふかし  #shorts #日本,https://www.youtube.com/shorts/M6MBBKUNx0M
#Lulu#告白#沈文程！「#爆笑 回應」眾人笑翻【#花甲少年趣旅行】 EP37｜#況明潔 #范少勳 #黃路梓茵 #shorts,https://www.youtube.com/shorts/u_8LbxlADLM
鍾心凌衣服太繃 讓全場笑翻啦!!【康熙來了 #shorts 】,https://www.youtube.com/shorts/hztBAIijpSU
趙哥喝醉唱情歌 大破音笑翻眾人【康熙來了 #shorts 】,https://www.youtube.com/shorts/BPFq-FEOF4Y
女司机掉头难倒路人笑翻，小车终究买大了？,https://www.youtube.com/shorts/1HnnU-OMSno
#王彩樺 想「一個月來一次」！#費玉清 秒 #歪樓 笑翻：這段不會剪掉！【#費玉清時間】#shorts #黃色笑話,https://www.youtube.com/shorts/kZ8w472WkTM
舒華直播各種神回答直接笑翻XD #Shorts,https://www.youtube.com/shorts/6Ab2AnU5Nms
近距離欣賞鏡檢拍桌 阿美笑翻大喊好喜歡#shortrs,https://www.youtube.com/shorts/AwzbjqIK2R8
媽媽指揮女兒「回眸笑」遭拒！鄧紫棋笑翻：正常就好回什麼眸呀,https://www.youtube.com/watch?v=A8zjHC8_P9w&amp;pp=ygUG56yR57-7
#郭子乾 模仿隨便cue笑翻全場 韻味超像！ #shorts,https://www.youtube.com/shorts/gmm85YeoXgU
#王思佳 #Outlet #攻略！#杜力 #吐槽 1話笑翻？ #ChillChill懂事長 #shorts,https://www.youtube.com/shorts/-j8RgSQMZKQ
哥哥睡著時被妹妹搞笑“攻擊”，網友笑翻：妹妹的特別“問候”#來安印象,https://www.youtube.com/shorts/p9e58cueZq0
那些笑翻网友的神回复,https://www.youtube.com/shorts/ai9-CpshZTs
關韶文冷笑話笑翻全場！小Ｓ被戳中笑穴猛飆淚！【#小姐不熙娣】20230228 EP249 Part1 王中皇 楊繡惠,https://www.youtube.com/watch?v=byXE28cRw9Y&amp;pp=ygUG56yR57-7
為了冰淇淋，胖橘貓打工拚了！結局笑翻 #funny #cat #cartoon #cute #shortvideo #animation #animals #funnycats,https://www.youtube.com/shorts/Z8dSmUrL2I8
甜品店老板与女客互相恶搞，路人笑翻！【整個路人】,https://www.youtube.com/shorts/B92n6dt-oqc
網路流行語！黃豪平自肥笑翻眾人? @FTVLifeInfo【#醫學大聯盟】,https://www.youtube.com/shorts/oI7-yp4sa2k
#沈玉琳 媽媽 #偏心 行為眾笑翻!【#哈囉你有事嗎】 EP176｜#曾智希 #親生 #演藝圈 #小孩 #家庭 #shorts,https://www.youtube.com/shorts/y0ggVDG0e_g
#芽芽 「1舉動」讓 #曾智希 笑翻!【#哈囉你有事嗎】 EP175｜#沈玉琳 #嘴硬 #承認 #男人 #女人 #夫妻#shorts,https://www.youtube.com/shorts/gOl1-9ZJXyA
#你能畢業嗎 荳荳超離譜答案眾人笑翻! 七龍珠技能竟回答血輪眼?! #shorts,https://www.youtube.com/shorts/nhA42PrKW1M
小明又來了讓人笑翻太有才了 #翡姨所思 #翡翠 #建國玉市 @jnrzsors,https://www.youtube.com/shorts/bVUja781KZg
